pIC50,maxaasN,ATS5m,ATS5v,ATS6e,ATS6p,ATS6i,ATS4s,AATS6m,AATS5v,AATS5e,AATS6p,AATS5i,AATS5s,ATSC8c,ATSC5m,ATSC4v,ATSC5e,ATSC6p,ATSC8i,ATSC3s,AATSC8c,AATSC4m,AATSC4v,AATSC3e,AATSC4p,AATSC2i,AATSC5s,MATS8c,MATS4m,MATS4v,MATS5e,MATS4p,MATS8i,MATS5s,GATS5c,GATS5m,GATS4v,GATS5e,GATS5p,GATS6i,GATS5s,VR3_DzZ,VR3_Dzm,VR3_Dzv,VE2_Dze,VR3_Dzp,VE2_Dzi,VR3_Dzs,SpMax6_Bhm,SpMax4_Bhv,SpMax4_Bhe,SpMax4_Bhp,SpMax4_Bhi,SpMax5_Bhs,SP-2,ASP-3,VP-0,AVP-7,SsOH,nHdsCH,nsOH,SHdsCH,minHBint10,minsF,maxHBint10,maxsF,ETA_EtaP_F,IC0,TIC0,SIC3,CIC3,BIC3,MIC5,ZMIC5,khs.aasN,MDEC-34,MDEO-12,MDEN-23,MLFER_A,MPC4,piPC2,nF12Ring,GGI3,JGI3,MWC10,SRW10,WTPT-4
5.507239611,0.0,3191.774767,8430.949297573334,276.22305000000006,57.260269121094026,5612.332861383055,127.53703703703704,79.82914480555559,175.6447770327778,7.341777041666664,1.5905630311415009,156.62291299775887,2.335905349794239,0.029676667,394.5815816584364,-268.0947236,0.2698230370370348,0.3933323607533306,-7.362369359,-3.675134211,0.001413175,5.855449227225055,-5.256759285,0.00268814,-0.009672367,-0.066763123,0.1959561656420938,0.144252938901139,0.08118045,-0.093530546,0.1103962287069809,-0.022785822,-0.207168479,0.1474691020722879,0.6470468875629446,0.8448983202641186,1.0473908993439245,0.583701552,0.8922770014405085,0.9745787522219952,0.5056871224383157,7.562945744397567,7.563156562461308,7.327997794207277,0.006181076,7.365730253321664,0.004022437,7.692044317,2.619181913839716,2.860853706723162,2.9482529715139734,2.9644937328460945,2.988143353691074,2.877775441284617,6.844641672699636,0.1951346317911853,10.45159616038172,0.0135293239447664,0.0,1,0,0.4603583501301755,0.0,0.0,0.0,0.0,0.71252,1.6780986942499818,45.30866474474951,0.9162274256613736,0.3983291667467945,0.8563322173270101,42.714568872201056,24.850683808075186,0,0.0,0.0,0.0,0.6050000000000001,34,3.701301974112493,0,1.166666666666667,0.058333333,11.138072002727451,9.43388384331172,2.5306538277452946
5.576918042,0.0,5467.541446000002,22951.38095798141,1023.3857160000024,157.44133441578933,23698.00177,302.074074074074,31.77892926896564,157.20123943822887,7.201584616438355,1.0858023063157884,154.71620082234014,2.039299002198545,-0.054429587,-1841.636723,-1737.463047,-0.41868713,5.469093075821748,23.763247519418933,0.7649888601988558,-0.00068,-11.28519523,-12.32243296,-0.001367657,-0.056972736,0.1460663249191888,-0.046772175,-0.12018305,-0.261500534,-0.221044758,-0.164090596,-0.19270478,0.1933469406058282,-0.214417948,0.855434881,1.2695925193225326,1.19181791,0.8839737488369787,1.2991991754232448,0.8095673840020435,1.273837087354956,13.649974714960468,13.650008424310975,13.836794774701383,0.0001249879756827755,13.834519860652575,0.0002884899618151646,14.81040481,3.1155534859012977,3.338541716042462,3.4457891670999032,3.360187700610691,3.4990716439416185,3.192753634106088,11.548961559759729,0.1666291967634302,16.93702499035053,0.0139526108041714,0.0,3,0,1.166029646426472,0.0,0.0,0.0,0.0,0.89377,1.3167718177817032,67.15536270686687,0.8457305096886532,0.875082166,0.7995571959393977,39.16668022056279,24.761685002195293,1,2.136905107283282,0.0,0.0,0.003,85,4.340553386467307,0,4.097222222222219,0.089070048,12.33078715845301,10.401501455574785,0.0
5.244163242,0.0,4111.091646043203,8394.395562,264.8771520000001,44.32384152,4888.9622,232.5648148148148,121.35918968405336,226.87555573736324,8.681232,1.4774613840000002,165.7121563732448,5.445362028695362,-0.099085037,-524.0651415,-33.32648019,-2.820485894,-1.841887554,-36.63899789,-28.8273074,-0.006192815,4.021646457237042,-0.81284098,-0.029898277,0.001096323,1.2395729852999426,-1.092025229,-0.184065264,0.082343661,-0.022534874,-0.345701012,0.003228698,-0.657480212,-0.212039386,0.6956627358286879,1.5141718603052772,1.1580289520613207,1.3287745195843086,1.087500180703966,0.9926635678664532,1.2260450948514774,10.11650186564174,10.138289834477831,10.400990861931136,0.005572857,10.733544023149648,0.005835622,9.972639375672768,2.655236080692396,2.808779912737862,2.997672074794252,2.780739932764475,3.0143055886039285,3.942407352038505,9.321341133265872,0.1743101855249075,9.923068056024,0.00625835,0.0,1,0,0.6187956139245823,0.0,12.828717271848484,0.0,12.828717271848484,0.90442,2.098987989077528,50.37571173786066,0.9636492846690778,0.1666666666666678,0.8836591668108978,52.86145945644824,29.44849687986781,0,1.4335341404317248,0.5019724248795792,0.0,0.886,54,3.9219733362813134,0,2.368055555555555,0.09107906,11.774789604396036,9.925884849978166,11.13551473778563
7.397940009,0.0,20128.372880000126,65963.48471,3610.639840000002,503.5080694820148,76566.2839,1619.1388888888885,47.98550723,140.94761690875535,7.775885982905988,1.0758719433376385,164.48021832185256,3.0171236942070263,0.8603575369031794,-1463.1953,-715.1933651,-7.179505955,3.3820911835059246,-3.635091906,-74.07780265,0.001731102,0.1870652073788441,-1.603572568,-0.009752488,-0.003814566,-0.213396893,-0.294527899,0.071215255,0.004950868,-0.033484827,-0.134059787,-0.017682855,-0.005857162,-0.128244208,1.2113807072608824,1.093229195702367,1.0197593194268415,1.209966034298922,0.9516342361550096,0.9690344534588466,1.163720723894849,46.99787500915236,47.00282127853263,46.27884375951275,0.00528808,53.80100645593433,0.005052415,48.61202158716418,3.5829145359751493,3.623425726,3.740766880767061,3.611113033623661,3.77107046672174,4.423422189637583,28.25781552457393,0.1974226068481663,37.57825242603272,0.011573959,118.1209222029814,14,11,6.593807688206362,0.5853697949960747,0.0,5.100362226860407,0.0,1.04483,1.438888680485807,198.56663790704133,0.8312670440542451,1.199442344004872,0.8185266898846415,46.27281629,31.086543038034677,0,3.1668345496883927,6.101611214161228,0.0,2.172,130,4.709530201312334,0,6.625,0.064320388,12.608476405824543,10.884910379348064,44.79900391267597
5.020451625,0.0,10863.393524999989,21862.50415534592,1065.614896000001,145.5240410875273,20868.83876424603,334.9074074074076,72.04398988188979,180.6818525,8.362389834710749,1.1458585912403725,160.2258648485961,4.445464748495053,0.1601438237202621,759.7679260205537,-514.8662102,3.371899023796644,2.7280923755058204,-22.03476003,-86.25583324,0.001685724,-3.798078838,-5.419644318,-0.047969856,-0.025389655,-0.195716713,0.1987368107338315,0.060620108,-0.071003464,-0.116110199,0.1659028637507148,-0.090051436,-0.174276348,0.064012101,0.9272513277583676,0.9288779183274016,1.1281727184887838,0.8169420415252999,1.2131112308226777,0.8752973585227719,0.8662111824922031,14.231984276545267,14.230374708581394,13.498298448851203,0.0068946,13.517672820633244,0.006764403,14.813592817894635,3.1348753898916777,3.216088875404522,3.4455015391346677,3.182032322904637,3.4486106986661333,3.812192850735377,10.82447408238238,0.1744956647348765,14.337137708959144,0.007723555,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.79142,1.6461969249994146,70.78646777497482,0.7009616355238176,1.6226613374608685,0.6847677692818681,43.68815850252575,30.033129628665343,0,0.0,4.234751004589467,0.0,0.003,51,3.737669618283368,0,1.6875,0.049632353,11.714502113569244,9.894900791598806,24.59588373446024
5.138465589,0.0,2315.001882,5906.702257869649,167.46219200000007,32.88264088939601,3375.3491921305867,207.29938271604937,67.43745127272723,164.07506271860134,7.815722500000002,1.4946654949725455,163.64131769422198,5.508744855967078,-0.018371516,393.5393331455583,-216.025349,0.4097497032136104,-3.005559386,1.8352505578576277,-5.546168425,-0.001670138,-5.753149263,-4.500528105,-0.011148042,-0.030896905,-0.047315972,0.6969760835062775,-0.139200471,-0.100220519,-0.087462381,0.127324926340925,-0.089241598,0.1024968316743009,0.205921176461938,0.7957832361838887,0.6193757469834643,1.0531227529754377,1.0536143428481757,0.5627659111233936,1.3660249707656995,0.9201102027416084,6.5306346521862215,6.529652728691957,6.234239433193307,0.005390856,6.478022587883176,0.007456349,5.904403086732555,2.392680302958408,2.7340312804221107,2.9220014688846345,2.767033812174872,2.9936052188063216,2.9150858938492683,6.048930265161847,0.204556889845493,7.839801852927544,0.009515986,0.0,2,0,1.2346774087721508,0.0,0.0,0.0,0.0,0.95636,1.7518834359763853,40.29331902745686,0.8966292914777542,0.4676038044418895,0.8186914481187346,37.98869056125655,25.09253300720519,0,0.0,0.0,0.0,0.022,22,3.701301974112493,0,1.0,0.055555556,10.916669032639795,9.356948391612272,4.928800041486002
4.980468315,0.0,15319.44049200001,58704.217522525054,2730.997648000001,401.65286788527817,60462.45174084197,935.4374999999992,37.49639748108101,141.11590750606985,7.333728269,1.0855482915818329,160.82486410623738,2.398470886752138,0.1141925730142548,-388.2483646,-1601.887455,-0.854626008,2.319548201291276,-0.3309558,2.9861685032139413,0.00040783061790805293,-2.380572543,-4.11796261,-0.000577,-0.017886796,0.3427669601150581,-0.078784457,0.0441350379597625,-0.070653305,-0.079018001,-0.035902034,-0.076092483,-0.000875,-0.04206473,0.9076373383320576,1.002658159634635,1.0969708003200995,0.9596791063472396,1.0437979044641943,0.9218800483181124,0.9267369171705924,22.01811619291388,22.01811955267376,22.02250389298149,0.001395199,22.028267261992937,0.001474331,22.88495377,3.2444505036560902,3.3882366828745627,3.507925464,3.3943862579128337,3.5438585028377565,4.033385791037764,18.068557897305496,0.1528660526614145,22.955670876645467,0.0122035234291826,10.488644262410393,2,1,0.7173496945074327,0.0,0.0,0.0,0.0,0.70417,1.3156213743139331,101.30284582217286,0.8024561567902423,1.2379650978240535,0.7785238299235597,38.586317094260295,27.12988533732544,0,14.76948297631897,0.0,0.0,0.591,151,4.442651256490317,0,6.8125,0.075694444,13.310973453283156,11.284656300113475,9.999725156434508
5.97061622,0.0,3014.235861,9959.7268400697,353.81936599999995,59.63547286667807,8009.300303,285.5493827160494,54.47235534693879,138.3295394454125,7.417769416666668,1.2170504666668993,162.5841088,3.653774434156378,-0.127219032,316.0627855000008,275.9892830615257,0.7959582890624991,4.662610847,9.988077300119288,-2.451356739,-0.003347869,3.2459167016129125,2.9676266995862983,-0.005294186,0.00561051,0.1778295903954442,0.4990585645766658,-0.37484415,0.061679722,0.05533077551184,0.1572932853968165,0.0174029582569641,0.1712998592606335,0.1891266264678242,0.7067902543464327,0.6671423987385693,0.9216570363152082,0.726287163,0.7470756309544719,0.7889023589607173,0.651309869,8.183706597506303,8.183398041,8.490715101967327,0.002575944,9.067448520387332,0.001012101,7.499861474910399,2.426232882719514,3.081721410535057,3.247588349339269,3.1212620435855203,3.2568409442627138,3.297655620168493,8.006707378482423,0.193769053,10.339801852927543,0.0108634872370068,0.0,2,0,1.2136993995128915,0.0,0.0,0.0,0.0,0.90675,1.6028413978136884,51.29092473003803,0.7544736717803483,1.2276316410982586,0.7088348981125387,34.48783441999665,29.4265031201322,0,0.9999999999999998,0.0,0.0,0.022,28,3.8394523125933104,0,1.5,0.0625,11.310111362941436,9.715047314733996,4.935744485930447
5.23284413,0.0,8211.127637,22547.16293684653,1074.4507680000013,166.8685982,22048.95033,435.3888888888889,58.17972606666674,174.78420881276375,7.826848434108532,1.2360636901320663,161.63276119720575,4.284237726098191,0.096241209,518.6622519672493,895.9554579526792,1.801682139551428,0.526931424,-3.130495266,-6.563229303,0.0007403169928202426,3.317712348514918,6.445722719084023,0.0101910731847632,0.025492413875616,-0.362024007,0.4644070415966403,8.901829159347745e-05,0.092244675,0.1226906140075417,0.151299403733531,0.090467318,-0.013334718,0.2223570466204177,1.6139101116844403,0.9003004565185663,0.8416331336727391,1.108522904126275,1.2502030636684474,0.9410305039480116,1.06455524318382,15.411759948636536,15.421601461983506,16.45759035471283,0.007080983,16.962428551870122,0.008701896,14.999266887863016,3.0562473605221703,3.3818968837728525,3.534344709171161,3.374241332,3.5832209303321227,3.881295051482328,11.957525847822,0.1974128444998462,15.947767755576168,0.008611864,19.15309159241699,0,2,0.0,0.0,0.0,0.0,0.0,0.96194,1.7126935206047795,90.77275659205333,0.8805432232090974,0.6842389152168016,0.8470801559814012,39.56538926565853,26.90971543699737,0,0.0,0.0,0.0,0.584,52,4.094344562,0,1.625,0.042763158,11.540608723070166,9.890351653142988,9.943355477411458
4.301029996,0.0,2962.829169,8350.842929,312.24905200000006,53.596632944943046,6633.777221193545,208.5555555555556,70.94883315652001,177.67750911805257,7.926732851063828,1.3399158236235762,172.3386967662213,3.2966903073286056,-0.221430212,-236.2970519,-390.9236737,-0.618148444,0.3651898224741972,-9.219097751,-12.97668038,-0.008201119,-3.161258936,-7.375918371,-0.018654776,-0.026125429,-0.153747986,-0.087937425,-0.40901927,-0.092283771,-0.176287281,-0.12921348,-0.129810234,-0.131332359,-0.044689009,1.2811407033487774,1.1513402834960271,1.1239866233360905,0.8320545772703672,0.761203691,0.988821161,0.5730998272064547,8.640507555862557,8.636395647,8.505562842959636,0.0114977310653828,8.562512040354465,0.0123654428243789,8.585595290253789,2.619181913839717,2.7753393133959343,3.0030757144388165,2.743088586643088,3.0906324675343133,3.278113826849342,7.944647311208298,0.1799964390764757,9.183706874646855,0.004294796,0.0,0,0,0.0,0.0,12.79461908453566,0.0,12.79461908453566,0.99782,1.7144116568924308,46.289114736095634,0.9376859502645476,0.2962962962962949,0.8558654609107682,41.94726745768364,23.82200093730417,0,0.0,0.0,0.0,0.528,49,4.038655656361512,0,1.2847222222222223,0.049412393,11.59026606369489,9.799293024,0.0
4.835349784,0.0,31507.51599400007,86087.25451222566,4830.322887999948,690.8948617520123,102023.80226277256,1786.222222222221,54.31082580844242,155.3921561592521,7.901355595667832,1.1215825677792408,166.08429327512272,4.081528279181706,0.7000367534408535,1345.5992868853411,1412.189251011144,9.282976470743987,-1.506426827,-8.294466216,-30.28903377,0.00094344575935425,2.9587010425354565,2.6898842876402744,0.005467728,0.001818947,-0.201292866,0.4595594588631477,0.0432245769302888,0.07940631,0.057725213,0.1692485852100725,0.008899238,-0.00849562,0.187232908732565,1.0262598037778268,0.9660177095319278,0.933514216077166,0.9734444317884916,1.0049535519261803,1.0511115822243873,1.0077127738169045,61.31350641,61.33500976702266,58.74904466856384,0.0136504006210876,61.062949104312544,0.0143386233950659,60.623898212189125,3.6001164914409745,3.6294595249015393,3.779141051026886,3.645404506096208,3.819709437961629,5.152351953984849,32.77924034100128,0.1880255436570461,44.96660875296275,0.0104330432286102,89.38804458422214,0,8,0.0,0.1992672966433176,0.0,6.881746540491863,0.0,1.25419,1.5682889556614503,258.7676776841393,0.848147219,1.118596515335084,0.8357341465696269,46.8921867,34.432013929799155,0,0.0,0.0,2.257030295717221,1.202000000000001,173,4.901564199041894,0,6.847222222222221,0.054343034,12.92019578437204,11.065716062153715,38.17227502397832
4.301029996,0.0,7599.999782000003,24381.996292350075,931.3319160000004,154.90608240782916,19413.734348287377,319.9999999999999,50.86496072357727,193.50790708214345,7.669496063492066,1.2593990439660907,154.41711668396192,2.6684303350970016,-0.030168532,-829.1333307,-1052.845438,-0.435865901,-5.174769279,-13.36497523,3.502252640036734,-0.000377,-5.228223206,-9.400405696,0.003134784,-0.042438701,0.5978885893967762,-0.06742365,-0.022984325,-0.152390225,-0.188920305,-0.039162384,-0.18034114,-0.116440464,-0.130899433,0.915527055563294,1.123646537027618,1.121786558898755,0.8904475317158717,1.1254395834831588,1.118402230727773,0.9965547079394268,15.649615452323426,15.649994615375952,16.240506216319055,0.0002101295188913798,19.76661587710362,0.00033057996199925343,15.18436249050922,2.969908497,3.2264314900880144,3.382553403571978,3.219089185938337,3.429823571912397,3.2693340462614446,11.523433387806683,0.1600719607134838,15.08865860855593,0.00685154,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.05801,1.4754017117210338,64.91767531572549,0.8542158013086897,0.7958988638330418,0.7944195935981312,42.82193096632186,24.12433252417956,1,0.0,0.0,0.0,0.003,99,4.483002552013883,0,2.256944444444444,0.044253813,12.48560787237118,10.547470749064702,11.82505131561858
5.012333735,0.0,18376.415225930006,23782.81372754548,734.170436,175.89342393909408,14285.238192484409,395.3112367407407,124.59100544752692,230.90110415092695,7.803608427184472,1.891327139130044,154.99280979229803,3.514133525,-0.148450996,2672.1081857264785,89.1225671,-0.226934271,-7.379381303,9.983709639,-5.732954954,-0.001746482,110.98197148914402,0.825208955,-0.008152563,0.1594829148247216,-0.023686397,-0.208927469,-0.129219325,0.1694216961629009,0.0138849606237517,-0.028945477,0.1663103200301273,0.075370066,-0.123203904,1.1188240309386035,0.6370325470174588,0.9077856797446694,1.0668455441990268,0.8093244970392082,0.9494073038296372,1.434007850400348,18.33639469,18.337205105875583,18.05959413086036,0.00013174387032893569,17.069602002812324,0.00039142839375994607,20.31612330197502,3.470915777856955,3.287842658334409,3.3985095888494645,3.7655464504708096,3.4333361072823303,3.7768081907962494,13.23177899736758,0.1828087358818801,21.337540270596875,0.008537671,10.390802871440435,0,1,0.0,0.3092179804987062,0.0,0.3092179804987062,0.0,1.08965,1.836466515936684,80.80452670121409,0.9552280752856434,0.2444292614128071,0.8902388658416808,81.42111291921869,40.72964457626461,0,0.0,0.0,0.0,0.2020000000000001,76,4.424846632,0,2.75,0.053921569,12.095146671399466,10.351213619358802,5.092437295351321
5.132532512,0.0,18332.029961930013,23436.929816787007,713.1337639999998,170.76792417424508,13805.077129359086,401.78634785185193,127.17689609844444,239.1523450692552,7.810888693877557,1.8974213797138344,153.6579198953352,3.596741244646008,-0.145175743,2375.799867147135,428.35421090138186,-0.062965431,-4.448809087,13.213047249818834,-6.7028831,-0.001792293,130.46521495317873,4.118790489436364,-0.008551064,0.203661474242548,-0.02626707,-0.212753525,-0.143302612,0.1960137730951755,0.070699512,-0.008352493,0.2109015625016756,0.1049319410948971,-0.109960252,1.032781776842456,0.6547327428895418,0.8482412841336214,1.0108392869941374,0.837981245,0.9292723724308803,1.3020256586122787,18.336394692409087,18.33720510587559,18.05959413086034,0.00013174387032887462,17.069602002812328,0.0003914283937599572,20.234769699655978,3.470988282415196,3.287843046937368,3.3984773557640486,3.766387182400496,3.4333011705993406,3.7768098733075504,13.23177899736758,0.1828087358818801,20.89032667509692,0.00809545,0.0,0,0,0.0,0.3155791017178915,0.0,0.3155791017178915,0.0,1.08965,1.8399109885194296,79.11617250633547,0.9453352712856576,0.296625290747988,0.8794336000674039,82.11880655413655,42.24765598546831,0,0.0,0.0,0.0,0.011,76,4.424846632,0,2.75,0.053921569,12.095146671399466,10.351213619358802,5.092437295351322
7.26760624,2.234506172839506,11845.513737000016,33676.45402915843,1229.098875999999,249.26712947728248,25448.21742793188,285.1430041152263,61.83745695757576,249.4552150308032,7.536784533333334,1.5107098756198938,147.47628100486756,2.791929583904894,0.0009732118579104128,-316.9920541,576.9002056786579,-0.333002566,-9.465722626,20.496728774680403,-0.9418846,1.3516831359866844e-05,2.5400041040632613,5.197299150258179,0.00013354154518950635,0.0204152828520666,0.0106112841580528,0.0134119466781671,0.002034766,0.053105231,0.097827477,-0.078931317,0.081098311,0.1915381673659544,0.0508598714528369,0.9800198894568088,0.9672880106563568,0.8013822562198245,1.084279303893826,0.9807507458524116,1.10545424286717,0.8529203196249954,15.262524734210212,15.275914868874818,14.78365107725557,0.0005528631276564968,15.156311824160902,0.00017765921401209568,14.228510850334184,2.992874754286704,3.5910103285544785,3.740343627432265,3.573808288338898,3.782107252682822,2.9919410159399757,10.519482214354094,0.1627680183608857,14.343275186251242,0.007265401,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.14449,1.3543563772721816,56.88296784543163,0.7146328509710711,1.5387902495973966,0.6620977117827789,35.333447128026975,42.24119427482791,1,3.3635856610148585,0.0,0.4999999999999999,0.003,84,4.300680995219929,0,2.777777777777778,0.063131313,12.350636085721526,10.369640025590376,0.0
